"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","CPI","TOT","AGRWTH","M","2014-01",1.65141,
"OECD","CPI","TOT","AGRWTH","M","2014-02",1.451569,
"OECD","CPI","TOT","AGRWTH","M","2014-03",1.585554,
"OECD","CPI","TOT","AGRWTH","M","2014-04",2.034172,
"OECD","CPI","TOT","AGRWTH","M","2014-05",2.09506,
"OECD","CPI","TOT","AGRWTH","M","2014-06",2.071361,
"OECD","CPI","TOT","AGRWTH","M","2014-07",1.974298,
"OECD","CPI","TOT","AGRWTH","M","2014-08",1.823732,
"OECD","CPI","TOT","AGRWTH","M","2014-09",1.758355,
"OECD","CPI","TOT","AGRWTH","M","2014-10",1.757091,
"OECD","CPI","TOT","AGRWTH","M","2014-11",1.525972,
"OECD","CPI","TOT","AGRWTH","M","2014-12",1.124185,
"OECD","CPI","TOT","AGRWTH","M","2015-01",0.5886158,
"OECD","CPI","TOT","AGRWTH","M","2015-02",0.6509063,
"OECD","CPI","TOT","AGRWTH","M","2015-03",0.6851124,
"OECD","CPI","TOT","AGRWTH","M","2015-04",0.5528966,
"OECD","CPI","TOT","AGRWTH","M","2015-05",0.6807821,
"OECD","CPI","TOT","AGRWTH","M","2015-06",0.7034214,
"OECD","CPI","TOT","AGRWTH","M","2015-07",0.6851714,
"OECD","CPI","TOT","AGRWTH","M","2015-08",0.6838669,
"OECD","CPI","TOT","AGRWTH","M","2015-09",0.5372922,
"OECD","CPI","TOT","AGRWTH","M","2015-10",0.6797317,
"OECD","CPI","TOT","AGRWTH","M","2015-11",0.8183193,
"OECD","CPI","TOT","AGRWTH","M","2015-12",0.9570034,
"OECD","CPI","TOT","AGRWTH","M","2016-01",1.289451,
"OECD","CPI","TOT","AGRWTH","M","2016-02",1.063644,
"OECD","CPI","TOT","AGRWTH","M","2016-03",0.9432125,
"OECD","CPI","TOT","AGRWTH","M","2016-04",0.951934,
"OECD","CPI","TOT","AGRWTH","M","2016-05",0.9326814,
"OECD","CPI","TOT","AGRWTH","M","2016-06",1.010149,
"OECD","CPI","TOT","AGRWTH","M","2016-07",0.9868387,
"OECD","CPI","TOT","AGRWTH","M","2016-08",1.060173,
"OECD","CPI","TOT","AGRWTH","M","2016-09",1.287887,
"OECD","CPI","TOT","AGRWTH","M","2016-10",1.463413,
"OECD","CPI","TOT","AGRWTH","M","2016-11",1.543477,
"OECD","CPI","TOT","AGRWTH","M","2016-12",1.878573,
"OECD","CPI","TOT","AGRWTH","M","2017-01",2.360112,
"OECD","CPI","TOT","AGRWTH","M","2017-02",2.543546,
"OECD","CPI","TOT","AGRWTH","M","2017-03",2.358177,
"OECD","CPI","TOT","AGRWTH","M","2017-04",2.395586,
"OECD","CPI","TOT","AGRWTH","M","2017-05",2.15884,
"OECD","CPI","TOT","AGRWTH","M","2017-06",1.961753,
"OECD","CPI","TOT","AGRWTH","M","2017-07",2.015043,
"OECD","CPI","TOT","AGRWTH","M","2017-08",2.219803,
"OECD","CPI","TOT","AGRWTH","M","2017-09",2.3685,
"OECD","CPI","TOT","AGRWTH","M","2017-10",2.221699,
"OECD","CPI","TOT","AGRWTH","M","2017-11",2.408971,
"OECD","CPI","TOT","AGRWTH","M","2017-12",2.349471,
"OECD","CPI","TOT","AGRWTH","M","2018-01",2.191976,
"OECD","CPI","TOT","AGRWTH","M","2018-02",2.217185,
"OECD","CPI","TOT","AGRWTH","M","2018-03",2.282726,
"OECD","CPI","TOT","AGRWTH","M","2018-04",2.272694,
"OECD","CPI","TOT","AGRWTH","M","2018-05",2.605035,
"OECD","CPI","TOT","AGRWTH","M","2018-06",2.790937,
"OECD","CPI","TOT","AGRWTH","M","2018-07",2.888737,
"OECD","CPI","TOT","AGRWTH","M","2018-08",2.89599,
"OECD","CPI","TOT","AGRWTH","M","2018-09",2.919772,
"OECD","CPI","TOT","AGRWTH","M","2018-10",3.108094,
"OECD","CPI","TOT","AGRWTH","M","2018-11",2.704404,
"OECD","CPI","TOT","AGRWTH","M","2018-12",2.390086,
"OECD","CPI","TOT","AGRWTH","M","2019-01",2.110193,
"OECD","CPI","TOT","AGRWTH","M","2019-02",2.091264,
"OECD","CPI","TOT","AGRWTH","M","2019-03",2.281062,
"OECD","CPI","TOT","AGRWTH","M","2019-04",2.483795,
"OECD","CPI","TOT","AGRWTH","M","2019-05",2.271068,
"OECD","CPI","TOT","AGRWTH","M","2019-06",2.088057,
"OECD","CPI","TOT","AGRWTH","M","2019-07",2.154972,
"OECD","CPI","TOT","AGRWTH","M","2019-08",1.960035,
"OECD","CPI","TOT","AGRWTH","M","2019-09",1.677354,
"OECD","CPI","TOT","AGRWTH","M","2019-10",1.649655,
"OECD","CPI","TOT","AGRWTH","M","2019-11",1.895962,
"OECD","CPI","TOT","AGRWTH","M","2019-12",2.168112,
"OECD","CPI","TOT","AGRWTH","M","2020-01",2.380605,
"OECD","CPI","TOT","AGRWTH","M","2020-02",2.272815,
"OECD","CPI","TOT","AGRWTH","M","2020-03",1.739058,
"OECD","CPI","TOT","AGRWTH","M","2020-04",0.8490446,
"OECD","CPI","TOT","AGRWTH","M","2020-05",0.6970628,
"OECD","CPI","TOT","AGRWTH","M","2020-06",1.080237,
"OECD","CPI","TOT","AGRWTH","M","2020-07",1.206941,
"OECD","CPI","TOT","AGRWTH","M","2020-08",1.287867,
"OECD","CPI","TOT","AGRWTH","M","2020-09",1.325868,
"OECD","CPI","TOT","AGRWTH","M","2020-10",1.197865,
"OECD","CPI","TOT","AGRWTH","M","2020-11",1.175357,
"OECD","CPI","TOT","AGRWTH","M","2020-12",1.24314,
"OECD","CPI","TOT","AGRWTH","M","2021-01",1.553329,
"OECD","CPI","TOT","AGRWTH","M","2021-02",1.739408,
"OECD","CPI","TOT","AGRWTH","M","2021-03",2.39885,
